DIRECCIÓN,BARRIO,"COORDENADAS
MAGNA-SIRGAS COLOMBIA
ORIGEN BOGOTÁ",,TIPO,DIÁMETRO HIDRANTE
,,X,Y,,
CRA 35A CALLE 46 ESQUINA,Cabecera del Llano,1.106.933,1.279.018,Tipo Tráfico,4''
CALLE 53 CRA 21,La Concordia,1.106.082,1.278.217,Tipo Milán,3''
CRA 20 CALLE 104,Provenza,1.106.050,1.275.457,Tipo Milán,3''
VIA GIRON KM 4 PRONALCI S.A.,Quebrada La iglesia I,1.103.769,1.275.543,Tipo Milán,3''
CRA 23 # 105-08,Provenza,1.106.503,1.275.361,Tipo Tráfico,4''
CALLE 111 # 23B-52,Provenza,1.106.480,1.274.998,Tipo Tráfico,4''
CRA 20F # 43N-71 ,Colorados,1.104.253,1.285.232,Tipo Milán,3''
CRA 26B # 1N-193,Regadero Norte,1.105.433,1.282.434,Tipo Tráfico,4''
CRA 14W # 60-36,Brisas del Mutis,1.104.194,1.276.528,Tipo Milán,3''
CRA 30 # 11 ESTADIO,San Alonso,1.106.027,1.281.094,Tipo Tráfico,4''
CL 39#22 ESQUINA PARQUE BOLÍVAR,Bólivar,1.105.787,1.279.014,Tipo Milán,3''
CRA 40 # 48-33,Cabecera del Llano,1.107.309,1.278.833,Tipo Tráfico,4''
AVENIDA 42 # 48-86,Cabecera del Llano,1.107.350,1.278.820,Tipo Milán,3''
CALLE 32 # 31-58,Mejoras Públicas,1.106.422,1.279.951,Tipo Tráfico,4''
CRA 22 CALLE 107,Provenza,1.106.299,1.275.247,Tipo Tráfico,4''
CRA 22 CALLE 115,Provenza,1.106.279,1.274.798,Tipo Tráfico,4''
CALLE 42 # 29-50,Mejoras Públicas,1.106.597,1.279.272,Tipo Tráfico,4''
CRA 20H # 41N ,Campestre Norte,1.104.270,1.285.043,Tipo Tráfico,4''
CALLE 17N # 34A-07,Los Angeles,1.105.384,1.282.842,Tipo Milán,3''
CRA 43 # 32-107,Alvarez las Américas,1.107.043,1.280.082,Tipo Tráfico,4''
CRA 40 # 32A-17,Alvarez las Américas,1.106.969,1.280.015,Tipo Tráfico,4''
CALLE 65 # 18-49,La Victoria,1.106.113,1.277.144,Tipo Milán,3''
CRA 17A # 58-79,Ricaurte,1.105.964,1.277.629,Tipo Tráfico,4''
CALLE52#54-41,Pan de Azucar,1.107.958,1.278.783,Tipo Milán,3''
CRA35 # 64-03,Monterredondo,1.103.767,1.275.983,Tipo Tráfico,3''
CALLE 65 # 30W-09,Monterredondo,1.103.916,1.275.941,Tipo Tráfico,3''
CALLE 10 CRA 36,Los Pinos,1.106.958,1.281.035,Tipo Milán,2''
CALLE 58 # 9-24,12 de Octubre,1.101.669,1.275.236,Tipo Tráfico,3''
CALLE 56 # 8-47,12 de Octubre,1.101.938,1.275.227,Tipo Tráfico,3''
CALLE 56 # 7-10,12 de Octubre,1.102.105,1.275.217,Tipo Milán,3''
CALLE 70 CRA 43,12 de Octubre,1.103.682,1.275.461,Tipo Milán,3''
CALLE 70  CRA40,12 de Octubre,1.104.196,1.275.699,Tipo Milán,3''
CRA 22 # 11-82,San Francisco,1.105.226,1.280.921,Tipo Milán,3''
MANZANA F PASEO DE LA FERIA,La Feria,1.103.557,1.279.384,Tipo Milán,3''
CRA11 # 27-04,Don Bosco,1.103.339,1.278.743,Tipo Milán,3''
CALKE 1 # 17-04,Transición,1.104.596,1.281.864,Tipo Milán,3''
CRA 13 # 27-05,Santander,1.103.211,1.278.691,Tipo Milán,3''
CRA15 OCC # 31 OCC-06,Don Bosco,1.102.808,1.278.212,Tipo Milán,3''
CALLE 37 # 1OCC-37,La Joya,1.103.842,1.278.308,Tipo Milán,3''
CALLE 19 CRA 21,Villa Helena II,1.104.859,1.283.068,Tipo Milán,3''
CAFE MADRID,Café Madrid,1.103.466,1.283.772,Tipo Milán,3''
CALLE 52 #54-41,Pan de Azucar,1.107.957,1.278.783,Tipo Milán,3''
DIAG 52 # 50-118,Pan de Azucar,1.107.856,1.278.859,Tipo Milán,3''
CALLE 3N # 17B-08,La Juventud,1.104.647,1.281.930,Tipo Milán,3''
